web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1015","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","2 500CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443620_uploaded_image1_1594836984.jpg"
"1739917822-1016","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2442369_uploaded_image1_1594819447.jpg"
"1739917822-1017","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","5 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2442234_uploaded_image1_1594818156.jpg"
"1739917822-1018","https://sn.coinafrique.com/categorie/vetements-enfants","Bonnet bébé","2 250CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2442193_uploaded_image1_1594817783.jpg"
"1739917822-1019","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","10 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441099_uploaded_image1_1594802735.jpg"
"1739917822-1020","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","10 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2439757_uploaded_image1_1594755732.jpg"
"1739917822-1021","https://sn.coinafrique.com/categorie/vetements-enfants","Robes filles","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436381_uploaded_image1_1594692440.jpg"
"1739917822-1022","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfant","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436380_uploaded_image1_1594692362.jpg"
"1739917822-1023","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfant","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436377_uploaded_image1_1594692299.jpg"
"1739917822-1024","https://sn.coinafrique.com/categorie/vetements-enfants","Robes fille","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436374_uploaded_image1_1594692213.jpg"
"1739917822-1025","https://sn.coinafrique.com/categorie/vetements-enfants","Robes  fille","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436373_uploaded_image1_1594692144.jpg"
"1739917822-1026","https://sn.coinafrique.com/categorie/vetements-enfants","Robes fille","7 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436371_uploaded_image1_1594692075.jpg"
"1739917822-1027","https://sn.coinafrique.com/categorie/vetements-enfants","Robes","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436369_uploaded_image1_1594692021.jpg"
